Year,Pelts,Species
2013,850,Coyote
2012,806,Coyote
2011,311,Coyote
2010,638,Coyote
2009,379,Coyote
2008,214,Coyote
2007,342,Coyote
2006,228,Coyote
2005,282,Coyote
2004,302,Coyote
2003,261,Coyote
2002,102,Coyote
2001,36,Coyote
2000,14,Coyote
1999,15,Coyote
1998,3,Coyote
1997,3,Coyote
1996,1,Coyote
1995,2,Coyote
1994,7,Coyote
1993,9,Coyote
2013,24,Wolf
2012,11,Wolf
2011,34,Wolf
2010,17,Wolf
2009,21,Wolf
2008,103,Wolf
2007,25,Wolf
2006,75,Wolf
2005,26,Wolf
2004,48,Wolf
2003,32,Wolf
2002,33,Wolf
2001,38,Wolf
2000,53,Wolf
1999,19,Wolf
1998,7,Wolf
1997,4,Wolf
1996,25,Wolf
1995,31,Wolf
1994,19,Wolf
1993,31,Wolf
2013,449,Lynx
2012,308,Lynx
2011,207,Lynx
2010,72,Lynx
2009,113,Lynx
2008,116,Lynx
2007,270,Lynx
2006,108,Lynx
2005,260,Lynx
2004,257,Lynx
2003,622,Lynx
2002,726,Lynx
2001,529,Lynx
2000,143,Lynx
1999,121,Lynx
1998,64,Lynx
1997,14,Lynx
1996,52,Lynx
1995,32,Lynx
1994,52,Lynx
1993,71,Lynx
